AÑO,CategoryName,ProductName,CompanyName,CANTIDAD
1996,Dairy Products,Raclette Courdavault,Frankenversand,3080.0000
1996,Grains/Cereals,Wimmers gute Semmelkndel,B's Beverages,239.4000
1996,Grains/Cereals,Wimmers gute Semmelkndel,Chop-suey Chinese,798.0000
1996,Grains/Cereals,Wimmers gute Semmelkndel,Ernst Handel,931.0000
1996,Grains/Cereals,Wimmers gute Semmelkndel,Lehmanns Marktstand,1330.0000
1996,Meat/Poultry,Thringer Rostbratwurst,Pericles Comidas clsicas,396.0000
1996,Meat/Poultry,Thringer Rostbratwurst,GROSELLA-Restaurante,990.0000
1996,Meat/Poultry,Thringer Rostbratwurst,Ernst Handel,1386.0000
1996,Meat/Poultry,Thringer Rostbratwurst,Comrcio Mineiro,1485.0000
1996,Meat/Poultry,Thringer Rostbratwurst,Split Rail Beer & Ale,1980.0000
1996,Meat/Poultry,Thringer Rostbratwurst,Old World Delicatessen,2475.0000
1996,Meat/Poultry,Thringer Rostbratwurst,Blondesddsl pre et fils,3465.0000
1996,Produce,Manjimup Dried Apples,Que Delcia,84.8000
1996,Produce,Manjimup Dried Apples,Princesa Isabel Vinhos,763.2000
1996,Produce,Manjimup Dried Apples,Bon app',848.0000
1996,Produce,Manjimup Dried Apples,Hanari Carnes,1484.0000
1996,Produce,Manjimup Dried Apples,Toms Spezialitten,1696.0000
1996,Produce,Manjimup Dried Apples,Hungry Owl All-Night Grocers,2035.2000
1996,Seafood,Carnarvon Tigers,Ernst Handel,450.0000
1996,Seafood,Carnarvon Tigers,Tortuga Restaurante,600.0000
1996,Seafood,Carnarvon Tigers,Bon app',1000.0000
1996,Seafood,Carnarvon Tigers,Old World Delicatessen,1250.0000
1996,Seafood,Carnarvon Tigers,Mre Paillarde,2000.0000
1997,Beverages,Cte de Blaye,Hanari Carnes,2371.5000
1997,Beverages,Cte de Blaye,The Big Cheese,2635.0000
1997,Beverages,Cte de Blaye,Berglunds snabbkp,3952.5000
1997,Beverages,Cte de Blaye,Great Lakes Food Market,3952.5000
1997,Beverages,Cte de Blaye,Tortuga Restaurante,3952.5000
1997,Beverages,Cte de Blaye,Rattlesnake Canyon Grocery,6324.0000
1997,Beverages,Cte de Blaye,QUICK-Stop,7905.0000
1997,Beverages,Cte de Blaye,Mre Paillarde,10329.2000
1997,Beverages,Cte de Blaye,Simons bistro,10540.0000
1997,Condiments,Sirop d'rable,Mre Paillarde,142.5000
1997,Condiments,Sirop d'rable,Godos Cocina Tpica,285.0000
1997,Condiments,Sirop d'rable,Rancho grande,285.0000
1997,Condiments,Sirop d'rable,QUICK-Stop,364.8000
1997,Condiments,Sirop d'rable,Die Wandernde Kuh,427.5000
1997,Condiments,Sirop d'rable,Let's Stop N Shop,570.0000
1997,Condiments,Sirop d'rable,Piccolo und mehr,570.0000
1997,Condiments,Sirop d'rable,Simons bistro,570.0000
1997,Condiments,Sirop d'rable,Vaffeljernet,570.0000
1997,Condiments,Sirop d'rable,Wartian Herkku,570.0000
1997,Condiments,Sirop d'rable,White Clover Markets,712.5000
1997,Condiments,Sirop d'rable,Save-a-lot Markets,2052.0000
1997,Condiments,Sirop d'rable,Ernst Handel,3420.0000
1997,Confections,Schoggi Schokolade,Old World Delicatessen,1755.0000
1997,Confections,Schoggi Schokolade,Maison Dewey,1756.0000
1997,Confections,Schoggi Schokolade,Rattlesnake Canyon Grocery,2195.0000
1997,Confections,Schoggi Schokolade,QUICK-Stop,5268.0000
1997,Dairy Products,Camembert Pierrot,Chop-suey Chinese,340.0000
1997,Dairy Products,Camembert Pierrot,Die Wandernde Kuh,340.0000
1997,Dairy Products,Camembert Pierrot,Gourmet Lanchonetes,340.0000
1997,Dairy Products,Camembert Pierrot,Familia Arquibaldo,408.0000
1997,Dairy Products,Camembert Pierrot,Around the Horn,510.0000
1997,Dairy Products,Camembert Pierrot,Queen Cozinha,510.0000
1997,Dairy Products,Camembert Pierrot,Wolski  Zajazd,510.0000
1997,Dairy Products,Camembert Pierrot,Furia Bacalhau e Frutos do Mar,544.0000
1997,Dairy Products,Camembert Pierrot,Berglunds snabbkp,680.0000
1997,Dairy Products,Camembert Pierrot,Frankenversand,680.0000
1997,Dairy Products,Camembert Pierrot,Wartian Herkku,816.0000
1997,Dairy Products,Camembert Pierrot,Ottilies Kseladen,1020.0000
1997,Dairy Products,Camembert Pierrot,Ricardo Adocicados,1088.0000
1997,Dairy Products,Camembert Pierrot,Lehmanns Marktstand,1190.0000
1997,Dairy Products,Camembert Pierrot,Richter Supermarkt,1632.0000
1997,Dairy Products,Camembert Pierrot,Bottom-Dollar Markets,1700.0000
1997,Dairy Products,Camembert Pierrot,Mre Paillarde,2380.0000
1997,Dairy Products,Camembert Pierrot,Save-a-lot Markets,2380.0000
1997,Dairy Products,Camembert Pierrot,QUICK-Stop,4726.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Galera del gastrnomo,152.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Reggiani Caseifici,380.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Lehmanns Marktstand,425.6000
1997,Grains/Cereals,Gnocchi di nonna Alice,Suprmes dlices,456.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Great Lakes Food Market,532.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Island Trading,570.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,B's Beverages,608.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,White Clover Markets,722.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Gourmet Lanchonetes,760.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Hanari Carnes,760.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Princesa Isabel Vinhos,851.2000
1997,Grains/Cereals,Gnocchi di nonna Alice,Comrcio Mineiro,912.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Toms Spezialitten,1064.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Bon app',1140.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Hungry Owl All-Night Grocers,1140.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Blondesddsl pre et fils,1216.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Furia Bacalhau e Frutos do Mar,1368.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Chop-suey Chinese,1520.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Wartian Herkku,1900.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Rattlesnake Canyon Grocery,2128.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Folk och f HB,2280.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Queen Cozinha,2280.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Mre Paillarde,3040.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Ernst Handel,3572.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Save-a-lot Markets,4978.0000
1997,Meat/Poultry,Perth Pasties,Hungry Owl All-Night Grocers,98.4000
1997,Meat/Poultry,Perth Pasties,Sant Gourmet,164.0000
1997,Meat/Poultry,Perth Pasties,Pericles Comidas clsicas,196.8000
1997,Meat/Poultry,Perth Pasties,Frankenversand,328.0000
1997,Meat/Poultry,Perth Pasties,White Clover Markets,328.0000
1997,Meat/Poultry,Perth Pasties,Que Delcia,393.0000
1997,Meat/Poultry,Perth Pasties,Berglunds snabbkp,393.6000
1997,Meat/Poultry,Perth Pasties,Around the Horn,590.4000
1997,Meat/Poultry,Perth Pasties,Rattlesnake Canyon Grocery,733.6000
1997,Meat/Poultry,Perth Pasties,Antonio Moreno Taquera,820.0000
1997,Meat/Poultry,Perth Pasties,Familia Arquibaldo,820.0000
1997,Meat/Poultry,Perth Pasties,Wartian Herkku,1965.0000
1997,Meat/Poultry,Perth Pasties,Save-a-lot Markets,243936.0000
1997,Produce,Manjimup Dried Apples,B's Beverages,127.2000
1997,Produce,Manjimup Dried Apples,Hungry Owl All-Night Grocers,159.0000
1997,Produce,Manjimup Dried Apples,Richter Supermarkt,318.0000
1997,Produce,Manjimup Dried Apples,Rancho grande,371.0000
1997,Produce,Manjimup Dried Apples,Folies gourmandes,795.0000
1997,Produce,Manjimup Dried Apples,Around the Horn,1060.0000
1997,Produce,Manjimup Dried Apples,Bon app',1060.0000
1997,Produce,Manjimup Dried Apples,HILARION-Abastos,1060.0000
1997,Produce,Manjimup Dried Apples,Lonesome Pine Restaurant,1060.0000
1997,Produce,Manjimup Dried Apples,Save-a-lot Markets,1060.0000
1997,Produce,Manjimup Dried Apples,Seven Seas Imports,1293.2000
1997,Produce,Manjimup Dried Apples,Gourmet Lanchonetes,1484.0000
1997,Produce,Manjimup Dried Apples,Chop-suey Chinese,1590.0000
1997,Produce,Manjimup Dried Apples,Simons bistro,1590.0000
1997,Produce,Manjimup Dried Apples,QUICK-Stop,2544.0000
1997,Produce,Manjimup Dried Apples,Folk och f HB,4134.0000
1997,Produce,Manjimup Dried Apples,Ernst Handel,6360.0000
1997,Seafood,Carnarvon Tigers,Wellington Importadora,250.0000
1997,Seafood,Carnarvon Tigers,Sant Gourmet,500.0000
1997,Seafood,Carnarvon Tigers,Let's Stop N Shop,750.0000
1997,Seafood,Carnarvon Tigers,Blondesddsl pre et fils,1125.0000
1997,Seafood,Carnarvon Tigers,Hanari Carnes,1250.0000
1997,Seafood,Carnarvon Tigers,Split Rail Beer & Ale,1312.5000
1997,Seafood,Carnarvon Tigers,Bon app',1500.0000
1997,Seafood,Carnarvon Tigers,Hungry Owl All-Night Grocers,1562.5000
1997,Seafood,Carnarvon Tigers,QUICK-Stop,4000.0000
1997,Seafood,Carnarvon Tigers,Folies gourmandes,5000.0000
1998,Beverages,Cte de Blaye,Rancho grande,527.0000
1998,Beverages,Cte de Blaye,Spcialits du monde,1317.5000
1998,Beverages,Cte de Blaye,Sant Gourmet,2108.0000
1998,Beverages,Cte de Blaye,White Clover Markets,6587.5000
1998,Beverages,Cte de Blaye,Great Lakes Food Market,7905.0000
1998,Beverages,Cte de Blaye,Kniglich Essen,7905.0000
1998,Beverages,Cte de Blaye,Rattlesnake Canyon Grocery,10540.0000
1998,Beverages,Cte de Blaye,Hanari Carnes,15810.0000
1998,Beverages,Cte de Blaye,QUICK-Stop,15810.0000
1998,Condiments,Sirop d'rable,Blauer See Delikatessen,114.0000
1998,Condiments,Sirop d'rable,Comrcio Mineiro,114.0000
1998,Condiments,Sirop d'rable,Wilman Kala,142.5000
1998,Condiments,Sirop d'rable,Old World Delicatessen,171.0000
1998,Condiments,Sirop d'rable,Hanari Carnes,285.0000
1998,Condiments,Sirop d'rable,Wolski  Zajazd,627.0000
1998,Condiments,Sirop d'rable,Folk och f HB,855.0000
1998,Condiments,Sirop d'rable,Island Trading,855.0000
1998,Condiments,Sirop d'rable,Victuailles en stock,855.0000
1998,Condiments,Sirop d'rable,Ernst Handel,1881.0000
1998,Confections,Tarte au sucre,Trail's Head Gourmet Provisioners,147.9000
1998,Confections,Tarte au sucre,Folk och f HB,295.8000
1998,Confections,Tarte au sucre,Chop-suey Chinese,591.6000
1998,Confections,Tarte au sucre,Wolski  Zajazd,591.6000
1998,Confections,Tarte au sucre,Bon app',690.2000
1998,Confections,Tarte au sucre,Godos Cocina Tpica,986.0000
1998,Confections,Tarte au sucre,Great Lakes Food Market,986.0000
1998,Confections,Tarte au sucre,Kniglich Essen,1232.5000
1998,Confections,Tarte au sucre,Save-a-lot Markets,1479.0000
1998,Confections,Tarte au sucre,White Clover Markets,1873.4000
1998,Confections,Tarte au sucre,Bottom-Dollar Markets,3993.3000
1998,Confections,Tarte au sucre,Rattlesnake Canyon Grocery,4437.0000
1998,Dairy Products,Raclette Courdavault,B's Beverages,220.0000
1998,Dairy Products,Raclette Courdavault,Wilman Kala,550.0000
1998,Dairy Products,Raclette Courdavault,Alfreds Futterkiste,825.0000
1998,Dairy Products,Raclette Courdavault,Vaffeljernet,990.0000
1998,Dairy Products,Raclette Courdavault,Kniglich Essen,1320.0000
1998,Dairy Products,Raclette Courdavault,Drachenblut Delikatessen,1650.0000
1998,Dairy Products,Raclette Courdavault,White Clover Markets,1650.0000
1998,Dairy Products,Raclette Courdavault,LILA-Supermercado,2200.0000
1998,Dairy Products,Raclette Courdavault,Maison Dewey,2200.0000
1998,Dairy Products,Raclette Courdavault,Ricardo Adocicados,2310.0000
1998,Dairy Products,Raclette Courdavault,Suprmes dlices,2750.0000
1998,Dairy Products,Raclette Courdavault,Save-a-lot Markets,5500.0000
1998,Dairy Products,Raclette Courdavault,Ernst Handel,6050.0000
1998,Grains/Cereals,Wimmers gute Semmelkndel,Rattlesnake Canyon Grocery,66.5000
1998,Grains/Cereals,Wimmers gute Semmelkndel,La maison d'Asie,99.7500
1998,Grains/Cereals,Wimmers gute Semmelkndel,HILARION-Abastos,266.0000
1998,Grains/Cereals,Wimmers gute Semmelkndel,Godos Cocina Tpica,498.7500
1998,Grains/Cereals,Wimmers gute Semmelkndel,Bon app',665.0000
1998,Grains/Cereals,Wimmers gute Semmelkndel,Save-a-lot Markets,665.0000
1998,Grains/Cereals,Wimmers gute Semmelkndel,Piccolo und mehr,831.2500
1998,Grains/Cereals,Wimmers gute Semmelkndel,Frankenversand,997.5000
1998,Grains/Cereals,Wimmers gute Semmelkndel,QUICK-Stop,1596.0000
1998,Grains/Cereals,Wimmers gute Semmelkndel,Ernst Handel,5453.0000
1998,Meat/Poultry,Thringer Rostbratwurst,Great Lakes Food Market,247.5800
1998,Meat/Poultry,Thringer Rostbratwurst,Tradio Hipermercados,990.3200
1998,Meat/Poultry,Thringer Rostbratwurst,Berglunds snabbkp,1237.9000
1998,Meat/Poultry,Thringer Rostbratwurst,Princesa Isabel Vinhos,1237.9000
1998,Meat/Poultry,Thringer Rostbratwurst,France restauration,1733.0600
1998,Meat/Poultry,Thringer Rostbratwurst,Kniglich Essen,2970.9600
1998,Meat/Poultry,Thringer Rostbratwurst,Folk och f HB,6189.5000
1998,Meat/Poultry,Thringer Rostbratwurst,Save-a-lot Markets,7427.4000
1998,Meat/Poultry,Thringer Rostbratwurst,Hungry Owl All-Night Grocers,17330.6000
1998,Produce,Rssle Sauerkraut,Alfreds Futterkiste,91.2000
1998,Produce,Rssle Sauerkraut,Wilman Kala,136.8000
1998,Produce,Rssle Sauerkraut,Cactus Comidas para llevar,364.8000
1998,Produce,Rssle Sauerkraut,Queen Cozinha,364.8000
1998,Produce,Rssle Sauerkraut,HILARION-Abastos,912.0000
1998,Produce,Rssle Sauerkraut,LINO-Delicateses,912.0000
1998,Produce,Rssle Sauerkraut,Berglunds snabbkp,1368.0000
1998,Produce,Rssle Sauerkraut,Ernst Handel,3192.0000
1998,Seafood,Ikura,Rattlesnake Canyon Grocery,31.0000
1998,Seafood,Ikura,Godos Cocina Tpica,310.0000
1998,Seafood,Ikura,Bon app',465.0000
1998,Seafood,Ikura,Suprmes dlices,496.0000
1998,Seafood,Ikura,Berglunds snabbkp,620.0000
1998,Seafood,Ikura,Ottilies Kseladen,744.0000
1998,Seafood,Ikura,Vaffeljernet,775.0000
1998,Seafood,Ikura,Bottom-Dollar Markets,930.0000
1998,Seafood,Ikura,Hanari Carnes,2170.0000
1998,Seafood,Ikura,Ernst Handel,3100.0000
